SAMPLE_ID,Dataset,BrNum,location,library_prep,library_type,round,fastq1,fastq2
2107UNHS-0291-Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br2720_Mid_Cyto/2107UNHS-0291-Br2720_Mid_Cyto_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br2720_Mid_Cyto/2107UNHS-0291-Br2720_Mid_Cyto_2.fastq.gz
2107UNHS-0291-Br2720_Mid_Nuc,2107UNHS-0291,Br2720,Mid,Nuc,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br2720_Mid_Nuc/2107UNHS-0291-Br2720_Mid_Nuc_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br2720_Mid_Nuc/2107UNHS-0291-Br2720_Mid_Nuc_2.fastq.gz
2107UNHS-0291-Br2720_Mid,2107UNHS-0291,Br2720,Mid,Bulk,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br2720_Mid/2107UNHS-0291-Br2720_Mid_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br2720_Mid/2107UNHS-0291-Br2720_Mid_2.fastq.gz
2107UNHS-0291-Br6432_Ant_Cyto,2107UNHS-0291,Br6432,Ant,Cyto,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Ant_Cyto/2107UNHS-0291-Br6432_Ant_Cyto_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Ant_Cyto/2107UNHS-0291-Br6432_Ant_Cyto_2.fastq.gz
2107UNHS-0291-Br6432_Ant_Nuc,2107UNHS-0291,Br6432,Ant,Nuc,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Ant_Nuc/2107UNHS-0291-Br6432_Ant_Nuc_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Ant_Nuc/2107UNHS-0291-Br6432_Ant_Nuc_2.fastq.gz
2107UNHS-0291-Br6432_Ant,2107UNHS-0291,Br6432,Ant,Bulk,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Ant/2107UNHS-0291-Br6432_Ant_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Ant/2107UNHS-0291-Br6432_Ant_2.fastq.gz
2107UNHS-0291-Br6432_Mid_Cyto,2107UNHS-0291,Br6432,Mid,Cyto,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Mid_Cyto/2107UNHS-0291-Br6432_Mid_Cyto_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Mid_Cyto/2107UNHS-0291-Br6432_Mid_Cyto_2.fastq.gz
2107UNHS-0291-Br6432_Mid_Nuc,2107UNHS-0291,Br6432,Mid,Nuc,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Mid_Nuc/2107UNHS-0291-Br6432_Mid_Nuc_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Mid_Nuc/2107UNHS-0291-Br6432_Mid_Nuc_2.fastq.gz
2107UNHS-0291-Br6432_Mid,2107UNHS-0291,Br6432,Mid,Bulk,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Mid/2107UNHS-0291-Br6432_Mid_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6432_Mid/2107UNHS-0291-Br6432_Mid_2.fastq.gz
2107UNHS-0291-Br6471_Ant_Cyto,2107UNHS-0291,Br6471,Ant,Cyto,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6471_Ant_Cyto/2107UNHS-0291-Br6471_Ant_Cyto_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6471_Ant_Cyto/2107UNHS-0291-Br6471_Ant_Cyto_2.fastq.gz
2107UNHS-0291-Br6471_Ant_Nuc,2107UNHS-0291,Br6471,Ant,Nuc,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6471_Ant_Nuc/2107UNHS-0291-Br6471_Ant_Nuc_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6471_Ant_Nuc/2107UNHS-0291-Br6471_Ant_Nuc_2.fastq.gz
2107UNHS-0291-Br6471_Ant,2107UNHS-0291,Br6471,Ant,Bulk,polyA,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6471_Ant/2107UNHS-0291-Br6471_Ant_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0291/Br6471_Ant/2107UNHS-0291-Br6471_Ant_2.fastq.gz
2107UNHS-0293-Br2720_Mid_Cyto,2107UNHS-0293,Br2720,Mid,Cyto,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br2720_Mid_Cyto/2107UNHS-0293-Br2720_Mid_Cyto_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br2720_Mid_Cyto/2107UNHS-0293-Br2720_Mid_Cyto_2.fastq.gz
2107UNHS-0293-Br2720_Mid_Nuc,2107UNHS-0293,Br2720,Mid,Nuc,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br2720_Mid_Nuc/2107UNHS-0293-Br2720_Mid_Nuc_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br2720_Mid_Nuc/2107UNHS-0293-Br2720_Mid_Nuc_2.fastq.gz
2107UNHS-0293-Br2720_Mid,2107UNHS-0293,Br2720,Mid,Bulk,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br2720_Mid/2107UNHS-0293-Br2720_Mid_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br2720_Mid/2107UNHS-0293-Br2720_Mid_2.fastq.gz
2107UNHS-0293-Br6432_Ant_Cyto,2107UNHS-0293,Br6432,Ant,Cyto,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Ant_Cyto/2107UNHS-0293-Br6432_Ant_Cyto_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Ant_Cyto/2107UNHS-0293-Br6432_Ant_Cyto_2.fastq.gz
2107UNHS-0293-Br6432_Ant_Nuc,2107UNHS-0293,Br6432,Ant,Nuc,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Ant_Nuc/2107UNHS-0293-Br6432_Ant_Nuc_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Ant_Nuc/2107UNHS-0293-Br6432_Ant_Nuc_2.fastq.gz
2107UNHS-0293-Br6432_Ant,2107UNHS-0293,Br6432,Ant,Bulk,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Ant/2107UNHS-0293-Br6432_Ant_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Ant/2107UNHS-0293-Br6432_Ant_2.fastq.gz
2107UNHS-0293-Br6432_Mid_Cyto,2107UNHS-0293,Br6432,Mid,Cyto,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Mid_Cyto/2107UNHS-0293-Br6432_Mid_Cyto_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Mid_Cyto/2107UNHS-0293-Br6432_Mid_Cyto_2.fastq.gz
2107UNHS-0293-Br6432_Mid_Nuc,2107UNHS-0293,Br6432,Mid,Nuc,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Mid_Nuc/2107UNHS-0293-Br6432_Mid_Nuc_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Mid_Nuc/2107UNHS-0293-Br6432_Mid_Nuc_2.fastq.gz
2107UNHS-0293-Br6432_Mid,2107UNHS-0293,Br6432,Mid,Bulk,RiboZeroGold,1,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Mid/2107UNHS-0293-Br6432_Mid_1.fastq.gz,/dcs04/lieber/lcolladotor/deconvolution_LIBD4030/Human_DLPFC_Deconvolution/raw-data/bulkRNA/2107UNHS-0293/Br6432_Mid/2107UNHS-0293-Br6432_Mid_2.fastq.gz
